zone,day,total_rides,cancellations,avg_fare
Zone_23,2024-01-02,4,0,40.415
Zone_24,2024-01-02,2,1,6.125
Zone_36,2024-01-02,2,1,20.63
Zone_37,2024-01-02,4,0,38.885
Zone_38,2024-01-02,5,0,33.236
Zone_15,2024-01-02,1,0,50.84
Zone_16,2024-01-02,1,0,32.53
Zone_28,2024-01-02,2,1,26.425
Zone_29,2024-01-02,5,0,39.63
Zone_6,2024-01-02,6,1,31.986666666666668
Zone_7,2024-01-02,2,0,15.34
Zone_8,2024-01-02,7,1,29.737142857142857
Zone_18,2024-01-02,1,0,38.23
Zone_19,2024-01-02,4,0,30.299999999999997
Zone_30,2024-01-02,3,0,37.06666666666666
Zone_31,2024-01-02,3,2,11.003333333333332
Zone_32,2024-01-02,8,2,34.405
Zone_33,2024-01-02,4,1,26.585
Zone_34,2024-01-02,3,0,38.62
Zone_35,2024-01-02,3,1,11.276666666666667
Zone_33,2024-01-03,2,0,28.16
Zone_34,2024-01-03,2,0,38.505
Zone_35,2024-01-03,1,0,49.09
Zone_20,2024-01-03,1,0,21.26
Zone_21,2024-01-03,4,1,16.115000000000002
Zone_9,2024-01-03,7,0,38.10142857142857
Zone_10,2024-01-03,4,1,21.605
Zone_11,2024-01-03,2,0,35.94
Zone_38,2024-01-03,1,0,28.35
Zone_39,2024-01-03,4,0,34.7175
Zone_40,2024-01-03,3,0,28.15666666666667
Zone_27,2024-01-03,6,0,27.551666666666666
Zone_12,2024-01-03,3,0,33.61
Zone_13,2024-01-03,6,0,46.60333333333333
Zone_1,2024-01-03,3,2,6.420000000000001
Zone_2,2024-01-03,6,1,19.12166666666667
Zone_3,2024-01-03,5,2,19.554000000000002
Zone_4,2024-01-03,3,0,32.29333333333333
Zone_5,2024-01-03,7,0,38.32000000000001
Zone_31,2024-01-03,5,0,32.426
Zone_32,2024-01-03,7,1,36.92857142857143
Zone_14,2024-01-03,2,0,19.509999999999998
Zone_15,2024-01-03,3,0,41.61
Zone_16,2024-01-03,5,2,25.436
Zone_23,2024-01-03,6,1,23.83833333333333
Zone_24,2024-01-03,4,0,32.0775
Zone_25,2024-01-03,5,0,37.518
Zone_36,2024-01-03,1,0,18.39
Zone_37,2024-01-03,4,1,23.31
Zone_17,2024-01-03,6,0,24.983333333333334
Zone_18,2024-01-03,2,0,30.619999999999997
Zone_19,2024-01-03,2,0,29.195
Zone_28,2024-01-03,7,1,27.72428571428571
Zone_29,2024-01-03,4,1,21.752499999999998
Zone_30,2024-01-03,6,1,16.688333333333333
Zone_6,2024-01-03,2,0,24.055
Zone_7,2024-01-03,2,0,35.345
Zone_8,2024-01-03,4,0,45.6625
Zone_7,2024-01-04,6,0,38.544999999999995
Zone_8,2024-01-04,1,0,14.28
Zone_1,2024-01-04,1,0,15.98
Zone_2,2024-01-04,7,0,39.255714285714284
Zone_9,2024-01-04,5,0,43.959999999999994
Zone_10,2024-01-04,9,1,24.683333333333337
Zone_34,2024-01-04,3,1,32.93
Zone_35,2024-01-04,3,0,37.68666666666667
Zone_20,2024-01-04,2,0,39.81
Zone_21,2024-01-04,5,1,33.361999999999995
Zone_12,2024-01-04,1,0,59.38
Zone_13,2024-01-04,6,1,30.42833333333333
Zone_14,2024-01-04,2,0,24.375
Zone_39,2024-01-04,3,0,44.79333333333334
Zone_40,2024-01-04,3,1,17.223333333333333
Zone_25,2024-01-04,2,0,35.43
Zone_26,2024-01-04,5,1,34.519999999999996
Zone_27,2024-01-04,1,1,0.0
Zone_28,2024-01-04,6,0,27.138333333333335
Zone_29,2024-01-04,3,0,41.803333333333335
Zone_30,2024-01-04,5,1,12.768
Zone_15,2024-01-04,2,1,9.04
Zone_16,2024-01-04,1,0,49.41
Zone_3,2024-01-04,1,0,42.42
Zone_5,2024-01-04,3,0,28.85333333333334
Zone_31,2024-01-04,6,0,41.515
Zone_32,2024-01-04,6,0,45.57833333333333
Zone_33,2024-01-04,2,2,0.0
Zone_17,2024-01-04,2,0,18.4
Zone_18,2024-01-04,1,0,20.68
Zone_19,2024-01-04,2,1,18.025
Zone_22,2024-01-04,3,1,17.363333333333337
Zone_23,2024-01-04,3,0,23.586666666666666
Zone_24,2024-01-04,5,1,20.036
Zone_36,2024-01-04,8,0,40.508750000000006
Zone_37,2024-01-04,3,1,18.346666666666664
Zone_38,2024-01-04,4,0,39.0725
Zone_36,2024-01-05,4,0,29.0775
Zone_37,2024-01-05,2,0,35.6
Zone_38,2024-01-05,3,0,29.086666666666666
Zone_39,2024-01-05,1,0,21.83
Zone_40,2024-01-05,8,2,26.597500000000004
Zone_9,2024-01-05,2,1,12.415
Zone_10,2024-01-05,2,0,37.125
Zone_11,2024-01-05,3,1,17.116666666666667
Zone_6,2024-01-05,1,0,17.14
Zone_7,2024-01-05,6,0,37.366666666666674
Zone_8,2024-01-05,6,0,24.743333333333332
Zone_1,2024-01-05,3,0,27.330000000000002
Zone_2,2024-01-05,2,0,23.98
Zone_3,2024-01-05,5,1,28.824
Zone_12,2024-01-05,2,0,31.54
Zone_13,2024-01-05,4,0,39.902499999999996
Zone_14,2024-01-05,2,0,39.7
Zone_33,2024-01-05,4,0,31.200000000000003
Zone_34,2024-01-05,9,2,27.975555555555555
Zone_35,2024-01-05,2,0,27.005000000000003
Zone_20,2024-01-05,2,0,54.245000000000005
Zone_21,2024-01-05,4,1,18.375
Zone_22,2024-01-05,1,1,0.0
Zone_23,2024-01-05,2,0,32.605
Zone_24,2024-01-05,2,0,20.29
Zone_15,2024-01-05,3,0,28.416666666666664
Zone_25,2024-01-05,4,1,25.08
Zone_26,2024-01-05,4,0,38.6575
Zone_27,2024-01-05,3,0,41.6
Zone_28,2024-01-05,2,0,39.135
Zone_29,2024-01-05,6,0,24.873333333333335
Zone_17,2024-01-05,4,0,29.185
Zone_18,2024-01-05,6,1,25.80666666666667
Zone_19,2024-01-05,4,1,24.91
Zone_4,2024-01-05,2,0,21.485
Zone_5,2024-01-05,2,0,32.46
Zone_30,2024-01-05,1,0,54.42
Zone_31,2024-01-05,2,0,50.815
Zone_32,2024-01-05,3,1,28.98666666666667
Zone_30,2024-01-06,3,1,27.22
Zone_32,2024-01-06,5,2,17.644
Zone_33,2024-01-06,1,0,24.42
Zone_34,2024-01-06,2,1,17.575
Zone_9,2024-01-06,3,0,31.16
Zone_10,2024-01-06,2,0,27.65
Zone_11,2024-01-06,3,0,33.64333333333333
Zone_36,2024-01-06,5,1,25.642000000000003
Zone_37,2024-01-06,5,0,29.804
Zone_38,2024-01-06,5,0,34.955999999999996
Zone_39,2024-01-06,4,0,34.082499999999996
Zone_40,2024-01-06,5,0,37.89
Zone_12,2024-01-06,3,0,31.0
Zone_13,2024-01-06,6,0,30.97
Zone_14,2024-01-06,5,1,18.266
Zone_7,2024-01-06,6,0,39.55499999999999
Zone_8,2024-01-06,3,0,28.243333333333332
Zone_1,2024-01-06,4,1,34.075
Zone_2,2024-01-06,5,0,20.843999999999998
Zone_3,2024-01-06,3,0,49.78333333333333
Zone_4,2024-01-06,3,1,30.25
Zone_5,2024-01-06,3,1,18.593333333333334
Zone_6,2024-01-06,8,1,29.693749999999994
Zone_15,2024-01-06,2,0,33.21
Zone_16,2024-01-06,2,0,33.235
Zone_20,2024-01-06,1,0,42.18
Zone_21,2024-01-06,2,0,17.535
Zone_22,2024-01-06,5,0,37.614
Zone_23,2024-01-06,4,0,22.02
Zone_24,2024-01-06,4,0,20.4425
Zone_17,2024-01-06,3,2,7.673333333333334
Zone_18,2024-01-06,3,0,27.97
Zone_19,2024-01-06,2,1,20.365
Zone_25,2024-01-06,4,2,16.575
Zone_26,2024-01-06,3,1,8.563333333333333
Zone_27,2024-01-06,5,1,27.479999999999997
Zone_28,2024-01-06,1,0,19.59
Zone_29,2024-01-06,3,0,32.14
Zone_28,2024-01-07,2,0,50.255
Zone_29,2024-01-07,3,0,22.413333333333334
Zone_30,2024-01-07,6,1,36.77333333333334
Zone_8,2024-01-07,3,1,23.21
Zone_9,2024-01-07,5,0,23.05
Zone_10,2024-01-07,3,0,29.243333333333332
Zone_11,2024-01-07,6,0,26.581666666666667
Zone_31,2024-01-07,6,0,32.083333333333336
Zone_32,2024-01-07,2,0,47.370000000000005
Zone_33,2024-01-07,5,0,44.784
Zone_35,2024-01-07,5,0,29.166
Zone_12,2024-01-07,4,0,43.2025
Zone_13,2024-01-07,1,0,55.35
Zone_36,2024-01-07,3,1,31.259999999999998
Zone_37,2024-01-07,1,0,13.67
Zone_38,2024-01-07,6,0,27.073333333333338
Zone_39,2024-01-07,2,0,35.645
Zone_40,2024-01-07,2,0,49.870000000000005
Zone_25,2024-01-07,3,0,41.4
Zone_26,2024-01-07,5,0,35.046
Zone_27,2024-01-07,3,0,34.39
Zone_14,2024-01-07,3,0,28.176666666666666
Zone_15,2024-01-07,3,0,47.4
Zone_16,2024-01-07,3,0,37.29
Zone_1,2024-01-07,2,0,26.57
Zone_2,2024-01-07,4,0,50.0525
Zone_3,2024-01-07,3,0,27.76666666666667
Zone_4,2024-01-07,3,0,41.11333333333333
Zone_5,2024-01-07,1,1,0.0
Zone_6,2024-01-07,4,0,53.425
Zone_17,2024-01-07,1,0,57.52
Zone_18,2024-01-07,3,0,42.78333333333333
Zone_19,2024-01-07,4,0,40.905
Zone_20,2024-01-07,3,0,38.97333333333333
Zone_21,2024-01-07,4,0,46.275
Zone_23,2024-01-07,5,1,31.306
Zone_24,2024-01-07,6,2,25.743333333333332
Zone_22,2024-01-08,2,0,50.635000000000005
Zone_23,2024-01-08,5,1,20.178
Zone_36,2024-01-08,6,0,40.861666666666665
Zone_37,2024-01-08,3,0,43.3
Zone_38,2024-01-08,7,2,21.34
Zone_9,2024-01-08,5,1,30.26
Zone_11,2024-01-08,4,0,26.095
Zone_28,2024-01-08,2,0,28.58
Zone_29,2024-01-08,2,0,25.095
Zone_30,2024-01-08,4,2,20.965
Zone_6,2024-01-08,1,0,44.07
Zone_7,2024-01-08,5,0,31.938
Zone_8,2024-01-08,2,0,42.394999999999996
Zone_12,2024-01-08,1,1,0.0
Zone_13,2024-01-08,2,0,32.805
Zone_31,2024-01-08,5,1,31.25
Zone_32,2024-01-08,4,0,30.5125
Zone_33,2024-01-08,7,2,24.665714285714284
Zone_34,2024-01-08,2,0,47.655
Zone_35,2024-01-08,3,0,28.34
Zone_20,2024-01-08,4,0,43.275
Zone_21,2024-01-08,5,0,23.483999999999998
Zone_14,2024-01-08,1,0,27.45
Zone_15,2024-01-08,9,3,23.890000000000004
Zone_16,2024-01-08,3,0,38.86333333333334
Zone_39,2024-01-08,5,0,43.728
Zone_40,2024-01-08,5,0,30.976
Zone_26,2024-01-08,1,0,59.56
Zone_27,2024-01-08,4,1,32.53
Zone_17,2024-01-08,5,0,27.248
Zone_18,2024-01-08,5,2,14.296
Zone_19,2024-01-08,3,0,48.58333333333333
Zone_1,2024-01-08,3,0,35.35666666666666
Zone_2,2024-01-08,1,0,39.01
Zone_3,2024-01-08,4,1,27.485
Zone_4,2024-01-08,2,1,15.505
Zone_5,2024-01-08,5,0,21.092
Zone_3,2024-01-09,1,0,11.0
Zone_4,2024-01-09,5,0,36.214
Zone_5,2024-01-09,3,0,20.12666666666667
Zone_31,2024-01-09,9,1,26.11777777777778
Zone_32,2024-01-09,2,0,31.38
Zone_33,2024-01-09,3,0,37.71666666666667
Zone_9,2024-01-09,4,1,26.7875
Zone_11,2024-01-09,3,1,36.22
Zone_23,2024-01-09,1,0,41.23
Zone_24,2024-01-09,1,0,28.41
Zone_36,2024-01-09,6,0,30.464999999999996
Zone_37,2024-01-09,2,0,56.555
Zone_12,2024-01-09,2,0,47.195
Zone_13,2024-01-09,6,0,32.02166666666667
Zone_28,2024-01-09,2,1,6.51
Zone_29,2024-01-09,1,0,12.45
Zone_30,2024-01-09,4,1,21.425
Zone_6,2024-01-09,2,0,33.305
Zone_7,2024-01-09,7,0,35.31857142857143
Zone_8,2024-01-09,1,0,8.7
Zone_1,2024-01-09,5,1,20.682
Zone_2,2024-01-09,6,0,43.248333333333335
Zone_14,2024-01-09,2,0,34.275
Zone_15,2024-01-09,5,0,26.114
Zone_16,2024-01-09,5,1,31.934
Zone_17,2024-01-09,4,1,23.195
Zone_34,2024-01-09,4,1,27.754999999999995
Zone_35,2024-01-09,4,0,27.667500000000004
Zone_20,2024-01-09,7,0,35.62285714285714
Zone_21,2024-01-09,3,0,27.03666666666667
Zone_22,2024-01-09,3,0,22.03
Zone_18,2024-01-09,4,0,43.2675
Zone_19,2024-01-09,3,0,18.823333333333334
Zone_38,2024-01-09,2,0,49.565
Zone_39,2024-01-09,7,1,29.27142857142857
Zone_40,2024-01-09,1,0,44.77
Zone_25,2024-01-09,4,1,17.717499999999998
Zone_26,2024-01-09,4,0,40.1075
Zone_27,2024-01-09,3,0,40.873333333333335
Zone_26,2024-01-10,3,0,22.796666666666667
Zone_27,2024-01-10,2,0,35.82
Zone_28,2024-01-10,1,0,23.75
Zone_29,2024-01-10,3,0,29.456666666666667
Zone_10,2024-01-10,4,0,40.27
Zone_3,2024-01-10,4,0,29.785
Zone_4,2024-01-10,2,0,37.165
Zone_5,2024-01-10,4,0,38.3925
Zone_31,2024-01-10,2,0,30.720000000000002
Zone_32,2024-01-10,3,1,26.363333333333333
Zone_33,2024-01-10,2,0,44.44
Zone_11,2024-01-10,1,0,24.64
Zone_12,2024-01-10,1,0,52.37
Zone_13,2024-01-10,2,1,18.705
Zone_23,2024-01-10,5,0,28.722
Zone_24,2024-01-10,6,1,20.884999999999998
Zone_25,2024-01-10,4,0,33.16499999999999
Zone_36,2024-01-10,1,0,21.77
Zone_37,2024-01-10,3,0,21.203333333333333
Zone_38,2024-01-10,2,0,26.86
Zone_39,2024-01-10,4,0,19.665
Zone_40,2024-01-10,1,0,30.76
Zone_14,2024-01-10,1,1,0.0
Zone_15,2024-01-10,3,0,38.95333333333333
Zone_16,2024-01-10,3,0,29.060000000000002
Zone_6,2024-01-10,5,0,48.775999999999996
Zone_7,2024-01-10,4,1,26.6325
Zone_8,2024-01-10,2,0,18.315
Zone_9,2024-01-10,6,2,23.636666666666667
Zone_1,2024-01-10,3,1,32.20333333333333
Zone_2,2024-01-10,2,0,36.66
Zone_17,2024-01-10,2,1,28.07
Zone_18,2024-01-10,1,0,40.48
Zone_19,2024-01-10,1,0,14.96
Zone_34,2024-01-10,4,1,33.2625
Zone_35,2024-01-10,1,0,59.12
Zone_20,2024-01-10,3,0,23.953333333333333
Zone_21,2024-01-10,1,0,56.85
Zone_22,2024-01-10,1,0,40.94
Zone_20,2024-01-11,4,0,22.99
Zone_21,2024-01-11,5,0,28.784
Zone_22,2024-01-11,1,0,33.57
Zone_23,2024-01-11,2,0,40.17
Zone_24,2024-01-11,3,0,40.873333333333335
Zone_9,2024-01-11,4,0,34.57
Zone_10,2024-01-11,4,0,39.0375
Zone_11,2024-01-11,7,0,39.620000000000005
Zone_25,2024-01-11,3,0,37.666666666666664
Zone_26,2024-01-11,5,0,30.896
Zone_27,2024-01-11,2,1,20.92
Zone_28,2024-01-11,4,0,32.4275
Zone_29,2024-01-11,4,0,27.95
Zone_30,2024-01-11,3,0,36.02333333333333
Zone_12,2024-01-11,1,0,27.59
Zone_13,2024-01-11,6,0,36.77833333333333
Zone_14,2024-01-11,4,1,25.5475
Zone_4,2024-01-11,8,0,48.61875
Zone_5,2024-01-11,6,0,34.07333333333333
Zone_31,2024-01-11,3,1,21.013333333333332
Zone_32,2024-01-11,3,0,34.790000000000006
Zone_33,2024-01-11,2,0,48.81999999999999
Zone_34,2024-01-11,4,0,34.735
Zone_35,2024-01-11,6,1,25.32333333333333
Zone_36,2024-01-11,6,0,39.365
Zone_37,2024-01-11,5,0,46.4
Zone_38,2024-01-11,5,1,23.332000000000004
Zone_39,2024-01-11,2,0,37.88
Zone_40,2024-01-11,2,0,13.905000000000001
Zone_17,2024-01-11,2,0,39.365
Zone_18,2024-01-11,5,0,28.336000000000002
Zone_19,2024-01-11,4,1,30.857499999999998
Zone_6,2024-01-11,1,0,35.36
Zone_7,2024-01-11,2,0,30.174999999999997
Zone_8,2024-01-11,5,0,38.214000000000006
Zone_1,2024-01-11,2,0,14.43
Zone_2,2024-01-11,2,0,36.275
Zone_1,2024-01-12,3,1,33.27333333333333
Zone_2,2024-01-12,2,0,24.405
Zone_4,2024-01-12,3,0,31.85333333333333
Zone_5,2024-01-12,2,0,42.935
Zone_6,2024-01-12,4,1,11.7975
Zone_9,2024-01-12,3,0,34.93333333333334
Zone_10,2024-01-12,1,0,17.17
Zone_11,2024-01-12,3,0,24.116666666666667
Zone_20,2024-01-12,3,0,26.560000000000002
Zone_21,2024-01-12,2,0,43.59
Zone_22,2024-01-12,4,2,10.9125
Zone_23,2024-01-12,4,0,36.9075
Zone_24,2024-01-12,1,0,15.46
Zone_12,2024-01-12,1,0,46.68
Zone_13,2024-01-12,3,0,28.513333333333332
Zone_14,2024-01-12,4,0,37.910000000000004
Zone_25,2024-01-12,3,0,19.923333333333336
Zone_26,2024-01-12,7,1,29.495714285714282
Zone_27,2024-01-12,6,0,14.621666666666666
Zone_28,2024-01-12,2,0,25.935
Zone_29,2024-01-12,5,1,22.612000000000002
Zone_7,2024-01-12,4,0,35.402499999999996
Zone_8,2024-01-12,1,0,9.45
Zone_34,2024-01-12,4,1,24.3125
Zone_35,2024-01-12,1,0,47.39
Zone_15,2024-01-12,5,2,16.824
Zone_16,2024-01-12,6,0,25.221666666666664
Zone_30,2024-01-12,1,1,0.0
Zone_31,2024-01-12,3,0,35.626666666666665
Zone_32,2024-01-12,2,0,33.445
Zone_33,2024-01-12,2,0,34.885000000000005
Zone_17,2024-01-12,4,1,35.07
Zone_18,2024-01-12,2,0,41.575
Zone_19,2024-01-12,2,0,39.225
Zone_36,2024-01-12,3,1,25.243333333333332
Zone_37,2024-01-12,3,1,17.973333333333336
Zone_38,2024-01-12,4,0,35.644999999999996
Zone_39,2024-01-12,2,1,21.82
Zone_40,2024-01-12,3,0,36.03333333333333
Zone_38,2024-01-13,2,0,34.715
Zone_39,2024-01-13,3,0,25.306666666666665
Zone_40,2024-01-13,2,1,18.57
Zone_25,2024-01-13,6,2,32.56166666666667
Zone_26,2024-01-13,1,0,56.93
Zone_27,2024-01-13,3,0,40.586666666666666
Zone_9,2024-01-13,5,2,24.169999999999998
Zone_10,2024-01-13,3,0,42.29333333333333
Zone_11,2024-01-13,2,0,29.58
Zone_1,2024-01-13,2,0,47.05
Zone_2,2024-01-13,4,1,25.57
Zone_3,2024-01-13,5,1,18.456
Zone_4,2024-01-13,3,0,35.25
Zone_5,2024-01-13,2,0,34.135
Zone_12,2024-01-13,2,0,37.915000000000006
Zone_13,2024-01-13,3,0,24.253333333333334
Zone_20,2024-01-13,5,1,20.622
Zone_21,2024-01-13,3,0,25.566666666666666
Zone_22,2024-01-13,3,2,10.103333333333332
Zone_24,2024-01-13,2,0,31.244999999999997
Zone_36,2024-01-13,3,0,16.16
Zone_37,2024-01-13,1,0,10.6
Zone_34,2024-01-13,4,0,34.9475
Zone_35,2024-01-13,2,0,26.71
Zone_28,2024-01-13,3,0,47.22333333333333
Zone_29,2024-01-13,2,1,28.255
Zone_30,2024-01-13,1,0,30.04
Zone_7,2024-01-13,6,0,37.776666666666664
Zone_8,2024-01-13,4,1,17.935
Zone_18,2024-01-13,2,1,24.49
Zone_19,2024-01-13,2,0,38.599999999999994
Zone_14,2024-01-13,3,0,36.76
Zone_15,2024-01-13,1,1,0.0
Zone_16,2024-01-13,1,0,28.74
Zone_17,2024-01-13,2,0,25.265
Zone_31,2024-01-13,1,0,9.44
Zone_32,2024-01-13,4,1,28.6725
Zone_33,2024-01-13,2,0,26.115000000000002
Zone_30,2024-01-14,2,0,28.405
Zone_31,2024-01-14,2,0,36.365
Zone_32,2024-01-14,1,0,21.77
Zone_20,2024-01-14,2,0,28.92
Zone_21,2024-01-14,3,0,14.826666666666668
Zone_22,2024-01-14,4,1,27.195
Zone_9,2024-01-14,3,1,22.509999999999998
Zone_10,2024-01-14,2,0,29.51
Zone_11,2024-01-14,3,0,29.34
Zone_40,2024-01-14,2,0,28.32
Zone_25,2024-01-14,3,1,28.090000000000003
Zone_26,2024-01-14,2,1,25.425
Zone_27,2024-01-14,5,0,42.13
Zone_12,2024-01-14,3,0,17.763333333333332
Zone_13,2024-01-14,1,0,50.8
Zone_14,2024-01-14,4,1,23.735
Zone_1,2024-01-14,4,0,31.1575
Zone_2,2024-01-14,4,1,28.697500000000005
Zone_3,2024-01-14,3,0,28.863333333333333
Zone_4,2024-01-14,4,0,39.17999999999999
Zone_5,2024-01-14,1,0,11.79
Zone_6,2024-01-14,3,0,29.96
Zone_15,2024-01-14,3,0,33.839999999999996
Zone_16,2024-01-14,1,0,44.94
Zone_34,2024-01-14,1,1,0.0
Zone_35,2024-01-14,3,0,23.94
Zone_36,2024-01-14,6,2,8.69
Zone_23,2024-01-14,6,1,32.51833333333334
Zone_24,2024-01-14,4,0,40.724999999999994
Zone_37,2024-01-14,3,0,54.12
Zone_38,2024-01-14,3,1,31.203333333333333
Zone_17,2024-01-14,2,0,39.475
Zone_18,2024-01-14,3,0,21.943333333333335
Zone_19,2024-01-14,5,1,27.004
Zone_28,2024-01-14,2,0,21.47
Zone_29,2024-01-14,1,0,18.42
Zone_7,2024-01-14,2,0,34.75
Zone_8,2024-01-14,2,0,24.75
Zone_6,2024-01-15,2,0,47.39
Zone_7,2024-01-15,4,1,23.955000000000002
Zone_8,2024-01-15,1,0,30.47
Zone_1,2024-01-15,1,0,59.18
Zone_2,2024-01-15,2,0,17.75
Zone_3,2024-01-15,7,1,26.834285714285716
Zone_9,2024-01-15,2,0,23.335
Zone_10,2024-01-15,3,1,11.263333333333334
Zone_11,2024-01-15,4,1,19.659999999999997
Zone_31,2024-01-15,5,2,26.131999999999998
Zone_32,2024-01-15,7,0,34.614285714285714
Zone_20,2024-01-15,6,0,23.365
Zone_21,2024-01-15,3,0,47.71666666666667
Zone_22,2024-01-15,6,1,36.66
Zone_12,2024-01-15,2,0,33.65
Zone_13,2024-01-15,5,0,38.654
Zone_14,2024-01-15,8,0,35.43
Zone_39,2024-01-15,7,0,29.455714285714286
Zone_40,2024-01-15,1,0,32.47
Zone_25,2024-01-15,1,0,40.55
Zone_26,2024-01-15,4,1,16.9
Zone_27,2024-01-15,3,0,37.04333333333333
Zone_28,2024-01-15,2,0,30.1
Zone_30,2024-01-15,5,2,23.566000000000003
Zone_33,2024-01-15,1,0,35.62
Zone_34,2024-01-15,3,0,26.206666666666667
Zone_35,2024-01-15,6,1,24.636666666666667
Zone_4,2024-01-15,1,1,0.0
Zone_5,2024-01-15,3,1,25.439999999999998
Zone_16,2024-01-15,4,0,37.2575
Zone_17,2024-01-15,5,0,33.758
Zone_18,2024-01-15,4,0,30.085
Zone_19,2024-01-15,3,0,41.7
Zone_23,2024-01-15,2,1,24.405
Zone_24,2024-01-15,2,1,29.39
Zone_36,2024-01-15,4,0,23.349999999999998
Zone_37,2024-01-15,5,1,27.508
Zone_38,2024-01-15,4,0,39.545
Zone_36,2024-01-16,1,0,57.64
Zone_37,2024-01-16,6,0,25.341666666666665
Zone_38,2024-01-16,2,0,41.08
Zone_39,2024-01-16,2,1,29.295
Zone_40,2024-01-16,4,0,39.095
Zone_9,2024-01-16,3,0,33.71333333333333
Zone_10,2024-01-16,1,0,48.91
Zone_11,2024-01-16,3,1,27.986666666666665
Zone_7,2024-01-16,3,0,28.866666666666667
Zone_8,2024-01-16,2,0,29.160000000000004
Zone_1,2024-01-16,1,0,34.34
Zone_2,2024-01-16,3,1,16.376666666666665
Zone_12,2024-01-16,5,1,26.116
Zone_13,2024-01-16,3,0,30.75333333333333
Zone_14,2024-01-16,4,0,32.2575
Zone_31,2024-01-16,6,1,29.750000000000004
Zone_32,2024-01-16,4,1,28.37
Zone_33,2024-01-16,6,0,39.01
Zone_20,2024-01-16,1,0,34.69
Zone_21,2024-01-16,3,0,29.49
Zone_22,2024-01-16,2,0,44.29
Zone_23,2024-01-16,5,0,26.548
Zone_24,2024-01-16,1,0,57.65
Zone_25,2024-01-16,6,0,32.425
Zone_34,2024-01-16,1,1,0.0
Zone_35,2024-01-16,6,0,33.446666666666665
Zone_26,2024-01-16,2,1,23.575
Zone_27,2024-01-16,1,0,53.37
Zone_28,2024-01-16,4,0,30.507500000000004
Zone_29,2024-01-16,1,0,31.09
Zone_30,2024-01-16,5,0,34.4
Zone_17,2024-01-16,4,1,21.57
Zone_18,2024-01-16,4,0,19.482499999999998
Zone_19,2024-01-16,2,0,45.58
Zone_3,2024-01-16,2,2,0.0
Zone_4,2024-01-16,6,0,37.578333333333326
Zone_5,2024-01-16,2,0,35.21
Zone_6,2024-01-16,3,1,32.09666666666667
Zone_15,2024-01-16,3,0,51.74666666666666
Zone_16,2024-01-16,4,1,23.595
Zone_15,2024-01-17,4,0,21.237500000000004
Zone_16,2024-01-17,4,0,27.895
Zone_30,2024-01-17,2,0,39.835
Zone_31,2024-01-17,2,1,4.815
Zone_32,2024-01-17,3,0,35.01
Zone_9,2024-01-17,4,0,38.7
Zone_10,2024-01-17,3,0,23.066666666666666
